
Begin Step 0, Time: 0, Systemstep: 0
Begin Step 383, Time: 2.33765, Systemstep: 0.00433661

Begin Step 384, Time: 2.34375, Systemstep: 0.00610352

Begin Step 385, Time: 2.34985, Systemstep: 0.00610352

Begin Step 386, Time: 2.35596, Systemstep: 0.00610352

Begin Step 387, Time: 2.36206, Systemstep: 0.00610352

Begin Step 388, Time: 2.36816, Systemstep: 0.00610352

Begin Step 389, Time: 2.37427, Systemstep: 0.00610352

Begin Step 390, Time: 2.38037, Systemstep: 0.00463761

Begin Step 391, Time: 2.38647, Systemstep: 0.00610352

Begin Step 392, Time: 2.39258, Systemstep: 0.00610352

Begin Step 393, Time: 2.39868, Systemstep: 0.00610352

Begin Step 394, Time: 2.40479, Systemstep: 0.00610352

Begin Step 395, Time: 2.41089, Systemstep: 0.00610352

Begin Step 396, Time: 2.41699, Systemstep: 0.00610352

Begin Step 397, Time: 2.4231, Systemstep: 0.00493824

Begin Step 398, Time: 2.4292, Systemstep: 0.00610352

Begin Step 399, Time: 2.4353, Systemstep: 0.00610352

Begin Step 400, Time: 2.44141, Systemstep: 0.00610352

Begin Step 401, Time: 2.44751, Systemstep: 0.00610352

Begin Step 402, Time: 2.45361, Systemstep: 0.00610352

Begin Step 403, Time: 2.45972, Systemstep: 0.00610352

Begin Step 404, Time: 2.46582, Systemstep: 0.00523925

Begin Step 405, Time: 2.47192, Systemstep: 0.00610352

Begin Step 406, Time: 2.47803, Systemstep: 0.00610352

Begin Step 407, Time: 2.48413, Systemstep: 0.00610352

Begin Step 408, Time: 2.49023, Systemstep: 0.00610352

Begin Step 409, Time: 2.49634, Systemstep: 0.00610352

Begin Step 410, Time: 2.50244, Systemstep: 0.00610352

Begin Step 411, Time: 2.50854, Systemstep: 0.00553988

Begin Step 412, Time: 2.51465, Systemstep: 0.00610352

Begin Step 413, Time: 2.52075, Systemstep: 0.00610352

